Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1991","1991","hg/ha","18084","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1991","1991","tonnes","23624340","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1992","1992","ha","13363609","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1992","1992","hg/ha","22828","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1992","1992","tonnes","30506127","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1993","1993","ha","11869663","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1993","1993","hg/ha","25321","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1993","1993","tonnes","30055633","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1994","1994","ha","13748813","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1994","1994","hg/ha","23629","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1994","1994","tonnes","32487625","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1995","1995","ha","13946320","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1995","1995","hg/ha","26005","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1995","1995","tonnes","36266951","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1996","1996","ha","11975811","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1996","1996","hg/ha","24761","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1996","1996","tonnes","29652791","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1997","1997","ha","12562130","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1997","1997","hg/ha","26228","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1997","1997","tonnes","32948044","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1998","1998","ha","10585498","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1998","1998","hg/ha","27964","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1998","1998","tonnes","29601753","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","1999","1999","ha","11611483","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","1999","1999","hg/ha","27765","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","1999","1999","tonnes","32239479","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2000","2000","ha","11890376","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2000","2000","hg/ha","27182","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2000","2000","tonnes","32321000","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2001","2001","ha","12335175","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2001","2001","hg/ha","34019","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2001","2001","tonnes","41962475","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2002","2002","ha","11760965","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2002","2002","hg/ha","30559","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2002","2002","tonnes","35940832","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2003","2003","ha","12965678","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2003","2003","hg/ha","37273","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2003","2003","tonnes","48327323","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2004","2004","ha","12410677","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2004","2004","hg/ha","33671","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2004","2004","tonnes","41787558","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2005","2005","ha","11549425","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2005","2005","hg/ha","30403","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2005","2005","tonnes","35113312","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2006","2006","ha","12613094","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2006","2006","hg/ha","33823","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2006","2006","tonnes","42661677","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2007","2007","ha","13767400","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2007","2007","hg/ha","37852","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2007","2007","tonnes","52112217","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2008","2008","ha","14444582","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2008","2008","hg/ha","40800","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2008","2008","tonnes","58933347","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2009","2009","ha","13654715","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2009","2009","hg/ha","37145","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2009","2009","tonnes","50719822","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2010","2010","ha","12678875","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2010","2010","hg/ha","43667","Fc","Calculated data",""
