Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1989,1989,ha,3041387,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1989,1989,hg/ha,5038,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1989,1989,tonnes,1532335,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1990,1990,ha,2908960,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1990,1990,hg/ha,5036,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1990,1990,tonnes,1464856,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1991,1991,ha,2763440,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1991,1991,hg/ha,5502,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1991,1991,tonnes,1520382,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1992,1992,ha,2500320,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1992,1992,hg/ha,5177,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1992,1992,tonnes,1294373,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1993,1993,ha,2259330,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1993,1993,hg/ha,5660,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1993,1993,tonnes,1278759,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1994,1994,ha,2097650,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1994,1994,hg/ha,6232,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1994,1994,tonnes,1307289,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1995,1995,ha,1869980,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1995,1995,hg/ha,4974,Fc,Calculated data,
